"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","n_obs_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"19","US","USLA",4648794,NA,NA,NA,NA,0,0,NA,NA,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"20","US","USMA",6949503,0.0306569343065693,0.0255555555555556,0,0,685,16,0.0306569343065693,0.0255555555555556,0,0,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"21","US","USMD",6045680,0.0923076923076923,0.06,NA,NA,130,2,0.0923076923076923,0.06,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"22","US","USME",1344212,NA,NA,NA,NA,0,0,NA,NA,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"23","US","USMI",9986857,NA,NA,NA,NA,0,0,NA,NA,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"24","US","USMN",5639632,0.0188679245283019,0.0123809523809524,0,0,742,14,0.0188679245283019,0.0123809523809524,0,0,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"25","US","USMO",6137428,0,0,NA,NA,14,1,0,0,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"26","US","USMS",2976149,0,0,0,0,6,1,0,0,0,0,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"27","US","USMT",1068778,NA,NA,NA,NA,0,0,NA,NA,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"28","US","USNC",10488084,0.0384615384615385,0.0694444444444444,NA,NA,130,4,0.0384615384615385,0.0694444444444444,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"29","US","USND",762062,NA,NA,NA,NA,0,0,NA,NA,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"30","US","USNE",1934408,0.0232558139534884,0.0238095238095238,0,0,43,3,0.0232558139534884,0.0238095238095238,0,0,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"31","US","USNH",1359711,0,0,NA,NA,3,1,0,0,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"32","US","USNJ",8882190,0,0,NA,NA,231,7,0,0,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"33","US","USNM",2096829,NA,NA,NA,NA,0,0,NA,NA,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"34","US","USNV",3080156,NA,NA,NA,NA,0,0,NA,NA,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"35","US","USNY",19453561,0.0786163522012579,0.0613492063492063,0,0,318,6,0.0786163522012579,0.0613492063492063,0,0,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"36","US","USOH",11689100,0.00898203592814371,0.005,0,0,334,5,0.00898203592814371,0.005,0,0,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"37","US","USOK",3956971,NA,NA,NA,NA,0,0,NA,NA,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"38","US","USOR",4217737,NA,NA,NA,NA,0,0,NA,NA,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"39","US","USPA",12801989,0.0165562913907285,0.0435714285714286,NA,NA,302,7,0.0165562913907285,0.0435714285714286,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"40","US","USRI",1059361,0.02,0.02,NA,NA,50,1,0.02,0.02,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"41","US","USSC",5148714,NA,NA,NA,NA,0,0,NA,NA,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"42","US","USSD",884659,NA,NA,NA,NA,0,0,NA,NA,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"43","US","USTN",6833174,0,0,NA,NA,120,2,0,0,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"44","US","USTX",28995881,0.0641509433962264,0.0722222222222222,0,0,265,6,0.0641509433962264,0.0722222222222222,0,0,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"45","US","USUT",3205958,0.0645161290322581,0.025,0,0,31,4,0.0645161290322581,0.025,0,0,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"46","US","USVA",8535519,0.0136054421768707,0.00833333333333333,NA,NA,147,4,0.0136054421768707,0.00833333333333333,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"47","US","USVT",623989,0,0,NA,NA,23,2,0,0,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"48","US","USWA",7614893,0.0145985401459854,0.0228333333333333,NA,NA,411,5,0.0145985401459854,0.0228333333333333,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"49","US","USWI",5822434,NA,NA,NA,NA,0,0,NA,NA,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"50","US","USWV",1792147,NA,NA,NA,NA,0,0,NA,NA,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
"51","US","USWY",578759,NA,NA,NA,NA,0,0,NA,NA,NA,NA,328300544,NA,NA,NA,NA,0,0,0.0309922023812515,0.0308048199223969,6531,0.00173971886883971,0.00173971886883971,4445,NA,NA,NA,NA
