"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"39","2020/04/27",5,0,141,0,0,0,NA,33706
"40","2020/04/28",0,0,141,0,0,0,NA,33706
"41","2020/04/29",0,0,141,0,0,0,NA,33706
"42","2020/04/30",0,0,141,0,0,0,NA,33706
"43","2020/05/01",3,0,144,0,0,0,NA,33706
"44","2020/05/02",0,0,144,0,0,0,NA,33706
"45","2020/05/03",0,0,144,0,0,0,NA,33706
"46","2020/05/04",0,0,144,0,0,0,NA,33706
"47","2020/05/05",0,0,144,0,0,0,NA,33706
"48","2020/05/06",0,0,144,0,0,0,NA,33706
"49","2020/05/07",0,0,144,0,0,0,NA,33706
"50","2020/05/08",0,0,144,0,0,0,NA,33706
"51","2020/05/09",2,0,146,0,0,0,NA,33706
"52","2020/05/10",0,0,146,0,0,0,NA,33706
"53","2020/05/11",0,0,146,0,0,0,NA,33706
"54","2020/05/12",1,0,147,0,0,0,NA,33706
"55","2020/05/13",0,0,147,0,0,0,NA,33706
"56","2020/05/14",0,0,147,0,0,0,NA,33706
"57","2020/05/15",0,0,147,0,0,0,NA,33706
"58","2020/05/16",0,0,147,0,0,0,NA,33706
"59","2020/05/17",0,0,147,0,0,0,NA,33706
"60","2020/05/18",0,0,147,0,0,0,NA,33706
"61","2020/05/19",0,0,147,0,0,0,NA,33706
"62","2020/05/20",0,0,147,0,0,0,NA,33706
"63","2020/05/21",2,0,149,0,0,0,NA,33706
"64","2020/05/22",2,0,151,0,0,0,NA,33706
"65","2020/05/23",0,0,151,0,0,0,NA,33706
"66","2020/05/24",0,0,151,0,0,0,NA,33706
"67","2020/05/25",0,0,151,0,0,0,NA,33706
"68","2020/05/26",4,0,155,0,0,0,NA,33706
"69","2020/05/27",0,0,155,0,0,0,NA,33706
"70","2020/05/28",2,0,157,0,0,0,NA,33706
"71","2020/05/29",0,0,157,0,0,0,NA,33706
"72","2020/05/30",4,0,161,0,0,0,NA,33706
"73","2020/05/31",0,0,161,0,0,0,NA,33706
"74","2020/06/01",8,0,169,0,0,0,NA,33706
"75","2020/06/02",1,0,170,0,0,0,NA,33706
"76","2020/06/03",2,0,172,0,0,0,NA,33706
"77","2020/06/04",1,0,173,0,0,0,NA,33706
"78","2020/06/05",0,0,173,0,0,0,NA,33706
"79","2020/06/06",1,0,174,0,0,0,NA,33706
"80","2020/06/07",0,0,174,0,0,0,NA,33706
"81","2020/06/08",1,0,175,0,0,0,NA,33706
"82","2020/06/09",1,0,176,0,0,0,NA,33706
"83","2020/06/10",0,0,176,0,0,0,NA,33706
"84","2020/06/11",0,0,176,0,0,0,NA,33706
"85","2020/06/12",0,0,176,0,0,0,NA,33706
"86","2020/06/13",0,0,176,0,0,0,NA,33706
"87","2020/06/14",0,0,176,0,0,0,NA,33706
"88","2020/06/15",0,0,176,0,0,0,NA,33706
"89","2020/06/16",0,0,176,0,0,0,NA,33706
"90","2020/06/17",0,0,176,0,0,0,NA,33706
"91","2020/06/18",0,0,176,0,0,0,NA,33706
"92","2020/06/19",0,0,176,0,0,0,NA,33706
"93","2020/06/20",0,0,176,0,0,0,NA,33706
"94","2020/06/21",0,0,176,0,0,0,NA,33706
"95","2020/06/22",0,0,176,0,0,0,NA,33706
"96","2020/06/23",0,0,176,0,0,0,NA,33706
"97","2020/06/24",0,0,176,0,0,0,NA,33706
"98","2020/06/25",0,0,176,0,0,0,NA,33706
"99","2020/06/26",0,0,176,0,0,0,NA,33706
"100","2020/06/27",0,0,176,0,0,0,NA,33706
"101","2020/06/28",0,0,176,0,0,0,NA,33706
"102","2020/06/29",1,0,177,0,0,0,NA,33706
"103","2020/06/30",0,0,177,0,0,0,NA,33706
"104","2020/07/01",0,0,177,0,0,0,NA,33706
